ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
WP_004916814.1,NC_020125.1,enoyl-CoA hydratase-related protein,27213,28013,-,ECH_2,PF16113.8,6.2e-39,3.3e-07,0.0032,250,319,198,264,190,266,0.87
WP_013447127.1,NC_020125.1,uracil phosphoribosyltransferase,28118,28768,-,UPRTase,PF14681.9,3.7e-40,5e-44,4.9e-40,10,205,15,210,8,211,0.88
WP_013447127.1,NC_020125.1,uracil phosphoribosyltransferase,28118,28768,-,Pribosyltran,PF00156.30,6.5e-12,9.2e-16,9e-12,16,135,62,176,33,190,0.80
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,ABC_tran,PF00005.30,2e-48,3.4e-25,1.7e-21,2,137,20,184,19,184,0.69
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,ABC_tran,PF00005.30,2e-48,2.6,1.3e+04,57,69,262,274,239,316,0.48
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,ABC_tran,PF00005.30,2e-48,9.3e-29,4.6e-25,1,137,332,467,332,467,0.85
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,ABC_tran,PF00005.30,2e-48,0.73,3.6e+03,65,92,548,587,517,609,0.48
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,SMC_N,PF02463.22,3.1e-14,3.6e-13,1.8e-09,19,205,23,218,4,232,0.77
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,SMC_N,PF02463.22,3.1e-14,7.8e-05,0.38,13,44,326,362,315,367,0.67
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,SMC_N,PF02463.22,3.1e-14,0.0008,3.9,135,205,437,501,377,514,0.76
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,AAA_21,PF13304.9,4.7e-13,1.9e-06,0.0093,3,78,33,90,32,140,0.65
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,AAA_21,PF13304.9,4.7e-13,1.6e-06,0.0076,247,304,160,216,127,216,0.76
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,AAA_21,PF13304.9,4.7e-13,0.59,2.9e+03,152,180,262,290,220,336,0.49
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,AAA_21,PF13304.9,4.7e-13,9.2e-08,0.00045,3,26,346,375,344,408,0.68
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,AAA_21,PF13304.9,4.7e-13,1.1e-05,0.053,221,302,422,497,384,499,0.67
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,AAA_21,PF13304.9,4.7e-13,0.4,1.9e+03,92,135,536,579,504,619,0.51
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,ABC_tran_CTD,PF16326.8,1.5e-12,0.85,4.2e+03,42,54,292,304,281,324,0.59
WP_004916807.1,NC_020125.1,ABC-F family ATP-binding cassette domain-containing protein,29541,31418,-,ABC_tran_CTD,PF16326.8,1.5e-12,3.1e-16,1.5e-12,1,69,557,622,557,622,0.97
WP_004916804.1,NC_020125.1,TonB-dependent receptor plug domain-containing protein,31521,33677,-,Plug,PF07715.18,1.1e-15,1.2e-19,2.3e-15,5,108,48,155,45,155,0.94
WP_004916801.1,NC_020125.1,DUF3467 domain-containing protein,33755,34063,-,DUF3467,PF11950.11,2.6e-28,1.5e-32,2.9e-28,6,91,3,87,1,88,0.95
WP_004916797.1,NC_020125.1,DNA-directed RNA polymerase subunit beta',34148,38416,-,RNA_pol_Rpb1_1,PF04997.15,7.8e-83,3.3e-86,1.3e-82,2,312,8,356,7,356,0.90
WP_004916797.1,NC_020125.1,DNA-directed RNA polymerase subunit beta',34148,38416,-,RNA_pol_Rpb1_5,PF04998.20,1.2e-70,5.9e-74,2.3e-70,1,258,774,1285,774,1358,0.89
WP_004916797.1,NC_020125.1,DNA-directed RNA polymerase subunit beta',34148,38416,-,RNA_pol_Rpb1_2,PF00623.23,6.2e-38,5.5e-13,2.2e-09,1,55,358,412,358,418,0.92
WP_004916797.1,NC_020125.1,DNA-directed RNA polymerase subunit beta',34148,38416,-,RNA_pol_Rpb1_2,PF00623.23,6.2e-38,1.9e-29,7.5e-26,74,165,408,499,401,500,0.87
WP_004916797.1,NC_020125.1,DNA-directed RNA polymerase subunit beta',34148,38416,-,RNA_pol_Rpb1_3,PF04983.21,2.7e-23,2.6e-26,1e-22,1,157,503,657,503,657,0.93
WP_004916797.1,NC_020125.1,DNA-directed RNA polymerase subunit beta',34148,38416,-,RNA_pol_Rpb1_3,PF04983.21,2.7e-23,2.1,8.3e+03,68,110,841,882,828,889,0.69
WP_004916797.1,NC_020125.1,DNA-directed RNA polymerase subunit beta',34148,38416,-,RNA_pol_Rpb1_4,PF05000.20,2.3e-15,1.7e-18,6.9e-15,1,103,686,767,686,772,0.82
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_6,PF00562.31,2.1e-156,0.14,4.7e+02,2,27,632,657,631,667,0.89
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_6,PF00562.31,2.1e-156,4.3e-159,1.4e-155,2,389,685,1198,684,1198,0.99
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_2,PF04561.17,7.9e-34,2.1e-10,6.9e-07,1,73,155,225,155,253,0.88
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_2,PF04561.17,7.9e-34,8.8e-28,2.9e-24,80,190,305,419,291,419,0.95
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_3,PF04565.19,3.9e-29,2.6e-32,8.4e-29,1,68,478,546,478,546,0.99
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_7,PF04560.23,1.4e-24,1e-27,3.4e-24,1,85,1200,1274,1200,1275,0.98
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_1,PF04563.18,9.3e-24,8.8e-27,2.9e-23,3,203,31,465,29,465,0.97
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_45,PF10385.12,6.4e-20,1.1e-22,3.7e-19,1,65,556,623,556,623,0.97
WP_015345281.1,NC_020125.1,DNA-directed RNA polymerase subunit beta,38499,42326,-,RNA_pol_Rpb2_45,PF10385.12,6.4e-20,4.2,1.4e+04,36,53,1170,1187,1168,1191,0.77
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,DUF4625,PF15418.9,9.7e-22,5.4e-05,0.26,97,126,303,332,270,337,0.88
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,DUF4625,PF15418.9,9.7e-22,5.4e-05,0.26,97,126,400,429,367,434,0.88
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,DUF4625,PF15418.9,9.7e-22,5.4e-05,0.26,97,126,497,526,464,531,0.88
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,DUF4625,PF15418.9,9.7e-22,5.4e-05,0.26,97,126,594,623,561,628,0.88
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,DUF4625,PF15418.9,9.7e-22,5.4e-05,0.26,97,126,691,720,658,725,0.88
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,DUF4625,PF15418.9,9.7e-22,5.1e-05,0.25,97,127,788,818,755,823,0.88
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_11,PF18200.4,1.2e-17,4.5e-06,0.022,26,77,288,338,270,342,0.80
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_11,PF18200.4,1.2e-17,5.8e-06,0.028,26,77,385,435,376,439,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_11,PF18200.4,1.2e-17,5.8e-06,0.028,26,77,482,532,473,536,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_11,PF18200.4,1.2e-17,5.8e-06,0.028,26,77,579,629,570,633,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_11,PF18200.4,1.2e-17,5.8e-06,0.028,26,77,676,726,667,730,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_11,PF18200.4,1.2e-17,2.9e-06,0.014,26,77,773,823,764,828,0.76
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,0.9,4.4e+03,52,71,51,62,23,93,0.52
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,1.4,7e+03,66,88,151,172,130,195,0.70
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,1.7e-06,0.0086,17,87,249,323,214,326,0.82
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,2.9e-06,0.014,3,87,333,420,332,423,0.81
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,2.9e-06,0.014,3,87,430,517,429,520,0.81
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,2.9e-06,0.014,3,87,527,614,526,617,0.81
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,2.9e-06,0.014,3,87,624,711,623,714,0.81
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,2.9e-06,0.014,3,87,721,808,720,811,0.81
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,Big_9,PF17963.4,1.9e-14,1.4,7.1e+03,1,20,818,839,818,894,0.50
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,0.56,2.8e+03,54,68,56,70,49,73,0.85
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,0.00032,1.6,49,75,295,321,284,323,0.89
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,1.2,5.7e+03,53,67,333,347,327,350,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,0.00032,1.6,49,75,392,418,381,420,0.89
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,1.2,5.7e+03,53,67,430,444,424,447,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,0.00032,1.6,49,75,489,515,478,517,0.89
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,1.2,5.7e+03,53,67,527,541,521,544,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,0.00032,1.6,49,75,586,612,575,614,0.89
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,1.2,5.7e+03,53,67,624,638,618,641,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,0.00032,1.6,49,75,683,709,672,711,0.89
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,1.2,5.7e+03,53,67,721,735,715,738,0.78
WP_236609088.1,NC_020125.1,hypothetical protein,43321,46119,-,NPCBM_assoc,PF10633.12,6.1e-11,0.00032,1.6,49,75,780,806,769,808,0.89
WP_013447123.1,NC_020125.1,50S ribosomal protein L7/L12,48975,49343,-,Ribosomal_L12,PF00542.22,2.7e-29,0.43,4.2e+03,30,30,19,19,3,41,0.60
WP_013447123.1,NC_020125.1,50S ribosomal protein L7/L12,48975,49343,-,Ribosomal_L12,PF00542.22,2.7e-29,2.7e-33,2.7e-29,1,67,56,122,56,122,1.00
WP_013447123.1,NC_020125.1,50S ribosomal protein L7/L12,48975,49343,-,Ribosomal_L12_N,PF16320.8,6.3e-11,6.4e-15,6.3e-11,3,47,5,50,3,52,0.79
WP_013447123.1,NC_020125.1,50S ribosomal protein L7/L12,48975,49343,-,Ribosomal_L12_N,PF16320.8,6.3e-11,0.086,8.4e+02,4,22,72,90,69,91,0.77
WP_013447123.1,NC_020125.1,50S ribosomal protein L7/L12,48975,49343,-,Ribosomal_L12_N,PF16320.8,6.3e-11,0.064,6.3e+02,16,26,104,114,104,115,0.89
WP_004916775.1,NC_020125.1,50S ribosomal protein L10,49417,49920,-,Ribosomal_L10,PF00466.23,3.7e-20,3e-24,6e-20,1,100,1,101,1,101,0.93
WP_004916771.1,NC_020125.1,50S ribosomal protein L1,49934,50626,-,Ribosomal_L1,PF00687.24,2.1e-49,1.3e-53,2.6e-49,2,204,31,220,29,220,0.97
WP_004916770.1,NC_020125.1,50S ribosomal protein L11,50638,51081,-,Ribosomal_L11_N,PF03946.17,6.3e-28,1.1e-31,1.1e-27,1,58,9,66,9,66,0.99
WP_004916770.1,NC_020125.1,50S ribosomal protein L11,50638,51081,-,Ribosomal_L11,PF00298.22,3.1e-25,5.6e-29,5.5e-25,1,70,71,139,71,139,0.99
WP_004916766.1,NC_020125.1,transcription termination/antitermination protein NusG,51309,51851,-,NusG,PF02357.22,4.3e-22,2.2e-26,4.3e-22,2,98,5,110,4,110,0.97
WP_004916766.1,NC_020125.1,transcription termination/antitermination protein NusG,51309,51851,-,NusG,PF02357.22,4.3e-22,0.4,7.9e+03,74,94,159,177,146,180,0.48
WP_004916763.1,NC_020125.1,preprotein translocase subunit SecE,51871,52077,-,SecE,PF00584.23,1.2e-16,7.2e-21,1.4e-16,2,54,6,59,5,61,0.94
WP_004916760.1,NC_020125.1,elongation factor Tu,52247,53434,-,GTP_EFTU,PF00009.30,1.3e-56,2.6e-60,1.7e-56,1,194,10,201,10,202,0.93
WP_004916760.1,NC_020125.1,elongation factor Tu,52247,53434,-,GTP_EFTU_D3,PF03143.20,6.7e-38,1.1,7.2e+03,95,105,223,233,210,234,0.81
WP_004916760.1,NC_020125.1,elongation factor Tu,52247,53434,-,GTP_EFTU_D3,PF03143.20,6.7e-38,2.9e-41,1.9e-37,1,107,299,393,299,394,0.97
WP_004916760.1,NC_020125.1,elongation factor Tu,52247,53434,-,GTP_EFTU_D2,PF03144.28,3.1e-16,1.1e-19,7.3e-16,1,73,225,294,225,295,0.94
WP_004916758.1,NC_020125.1,quinone-dependent dihydroorotate dehydrogenase,53604,54626,-,DHO_dh,PF01180.24,3.3e-93,1.9e-97,3.8e-93,2,295,50,340,49,340,0.94
WP_004916755.1,NC_020125.1,ribosome-associated translation inhibitor RaiA,55280,55570,-,Ribosomal_S30AE,PF02482.22,1.1e-13,6.5e-18,1.3e-13,1,84,3,95,3,96,0.89
WP_015345283.1,NC_020125.1,tyrosine-type recombinase/integrase,55598,56473,-,Phage_integrase,PF00589.25,2.1e-37,3.6e-41,3.5e-37,5,169,111,273,108,276,0.96
WP_015345283.1,NC_020125.1,tyrosine-type recombinase/integrase,55598,56473,-,Phage_int_SAM_1,PF02899.20,1.2e-20,2.8e-24,2.8e-20,1,81,2,84,2,86,0.97
WP_015345283.1,NC_020125.1,tyrosine-type recombinase/integrase,55598,56473,-,Phage_int_SAM_1,PF02899.20,1.2e-20,1.3,1.3e+04,3,17,221,235,218,245,0.65
WP_004916751.1,NC_020125.1,30S ribosomal protein S21,56552,56749,-,Ribosomal_S21,PF01165.23,7.6e-17,4.5e-21,8.9e-17,2,55,4,57,3,57,0.96
WP_004916748.1,NC_020125.1,EamA family transporter,56925,57770,+,EamA,PF00892.23,3e-21,3.5e-18,6.9e-14,13,136,1,121,1,122,0.93
WP_004916748.1,NC_020125.1,EamA family transporter,56925,57770,+,EamA,PF00892.23,3e-21,2.3e-11,4.6e-07,3,133,130,264,128,268,0.87
WP_004916743.1,NC_020125.1,RluA family pseudouridine synthase,58868,59557,-,PseudoU_synth_2,PF00849.25,5.6e-33,3.6e-37,7.1e-33,1,159,12,167,12,168,0.92
WP_004916737.1,NC_020125.1,3-methyl-2-oxobutanoate hydroxymethyltransferase,59888,60703,-,Pantoate_transf,PF02548.18,1.4e-114,7.8e-119,1.5e-114,1,258,9,266,9,267,0.99
WP_004916734.1,NC_020125.1,Crp/Fnr family transcriptional regulator,60724,61437,-,cNMP_binding,PF00027.32,1.1e-16,1.9e-20,1.8e-16,3,88,42,127,40,128,0.97
WP_004916734.1,NC_020125.1,Crp/Fnr family transcriptional regulator,60724,61437,-,HTH_Crp_2,PF13545.9,4.8e-15,7.9e-19,7.8e-15,1,67,160,231,160,232,0.85
WP_004916730.1,NC_020125.1,heavy metal translocating P-type ATPase metal-binding domain-containing protein,61527,63920,+,E1-E2_ATPase,PF00122.23,1.7e-35,2.7e-39,1.7e-35,11,177,313,476,304,480,0.92
WP_004916730.1,NC_020125.1,heavy metal translocating P-type ATPase metal-binding domain-containing protein,61527,63920,+,E1-E2_ATPase,PF00122.23,1.7e-35,2.6,1.7e+04,130,160,741,768,729,789,0.45
WP_004916730.1,NC_020125.1,heavy metal translocating P-type ATPase metal-binding domain-containing protein,61527,63920,+,Hydrolase,PF00702.29,8.2e-21,1.8e-24,1.2e-20,1,209,496,694,496,695,0.82
WP_004916730.1,NC_020125.1,heavy metal translocating P-type ATPase metal-binding domain-containing protein,61527,63920,+,ATPase-cat_bd,PF12156.11,7.2e-14,3.4e-17,2.3e-13,1,84,4,77,4,80,0.87
WP_004916726.1,NC_020125.1,cbb3-type cytochrome oxidase assembly protein CcoS,64036,64218,+,FixS,PF03597.18,1.5e-18,8.5e-23,1.7e-18,1,44,2,45,2,45,0.99
WP_004916723.1,NC_020125.1,cytochrome-c oxidase%2C cbb3-type subunit I,64224,66503,+,COX1,PF00115.23,3.2e-123,3.2e-127,3.2e-123,2,432,12,467,11,467,0.94
WP_004916723.1,NC_020125.1,cytochrome-c oxidase%2C cbb3-type subunit I,64224,66503,+,COX1,PF00115.23,3.2e-123,0.0098,96,125,181,469,539,465,561,0.66
WP_004916723.1,NC_020125.1,cytochrome-c oxidase%2C cbb3-type subunit I,64224,66503,+,FixO,PF02433.18,7.8e-94,1.1e-97,1.1e-93,1,218,513,748,513,748,0.95
WP_004916717.1,NC_020125.1,c-type cytochrome,66734,67612,+,Cytochrome_CBB3,PF13442.9,1.6e-14,3.2e-18,3.1e-14,2,67,184,264,183,264,0.86
WP_004916717.1,NC_020125.1,c-type cytochrome,66734,67612,+,FixP_N,PF14715.9,5.1e-13,0.00032,3.1,16,40,2,26,1,29,0.90
WP_004916717.1,NC_020125.1,c-type cytochrome,66734,67612,+,FixP_N,PF14715.9,5.1e-13,0.086,8.4e+02,27,39,37,49,35,56,0.77
WP_004916717.1,NC_020125.1,c-type cytochrome,66734,67612,+,FixP_N,PF14715.9,5.1e-13,8.9e-17,8.7e-13,3,43,102,142,100,146,0.92
WP_004916714.1,NC_020125.1,cytochrome c oxidase accessory protein CcoG,67640,69082,+,Fer4_18,PF13746.9,1.6e-43,2.2,1.4e+04,6,16,119,129,118,149,0.68
WP_004916714.1,NC_020125.1,cytochrome c oxidase accessory protein CcoG,67640,69082,+,Fer4_18,PF13746.9,1.6e-43,2.5e-47,1.6e-43,1,113,223,328,223,329,0.94
WP_004916714.1,NC_020125.1,cytochrome c oxidase accessory protein CcoG,67640,69082,+,FixG_C,PF11614.11,4.3e-15,1.1e-18,7e-15,3,118,360,474,358,475,0.93
WP_004916714.1,NC_020125.1,cytochrome c oxidase accessory protein CcoG,67640,69082,+,Fer4_5,PF12801.10,2.5e-13,0.25,1.6e+03,6,17,52,63,48,71,0.56
WP_004916714.1,NC_020125.1,cytochrome c oxidase accessory protein CcoG,67640,69082,+,Fer4_5,PF12801.10,2.5e-13,3.8e-17,2.5e-13,3,44,98,143,96,147,0.83
WP_004916714.1,NC_020125.1,cytochrome c oxidase accessory protein CcoG,67640,69082,+,Fer4_5,PF12801.10,2.5e-13,6.6e-05,0.43,3,38,206,242,203,258,0.72
WP_004916714.1,NC_020125.1,cytochrome c oxidase accessory protein CcoG,67640,69082,+,Fer4_5,PF12801.10,2.5e-13,0.78,5.1e+03,24,32,282,290,282,290,0.87
WP_004916714.1,NC_020125.1,cytochrome c oxidase accessory protein CcoG,67640,69082,+,Fer4_5,PF12801.10,2.5e-13,0.97,6.4e+03,5,16,350,360,347,366,0.43
WP_004916711.1,NC_020125.1,FixH family protein,69083,69541,+,FixH,PF05751.14,3.4e-13,2e-17,4e-13,4,141,8,145,5,150,0.91
WP_004916708.1,NC_020125.1,sulfite exporter TauE/SafE family protein,69532,70269,+,DsbD_2,PF13386.9,2e-47,1.2e-51,2.3e-47,1,198,8,207,8,208,0.94
WP_004916706.1,NC_020125.1,UDP-glucose/GDP-mannose dehydrogenase family protein,70280,71590,-,UDPG_MGDP_dh_N,PF03721.17,8.4e-63,1.3e-66,8.4e-63,1,187,1,182,1,182,0.96
WP_004916706.1,NC_020125.1,UDP-glucose/GDP-mannose dehydrogenase family protein,70280,71590,-,UDPG_MGDP_dh_N,PF03721.17,8.4e-63,0.63,4.2e+03,133,170,267,303,264,313,0.64
