cluster_id,label,n_tokens
BGC0000986,NRP,66
BGC0000988,NRP,85
BGC0000989,NRP,79
BGC0000990,NRP,89
BGC0000991,NRP,79
BGC0000992,NRP,44
BGC0000993,NRP,47
BGC0000994,NRP,98
BGC0000995,NRP,96
BGC0000996,NRP,15
BGC0000997,NRP,45
BGC0000998,NRP,50
BGC0000999,NRP,19
BGC0001000,NRP,40
BGC0001001,NRP,82
BGC0001002,NRP,15
BGC0001003,NRP,93
BGC0001004,Polyketide,109
BGC0001005,NRP,57
BGC0001006,NRP,22
BGC0001007,Polyketide,22
BGC0001008,Polyketide,60
BGC0001010,NRP,58
BGC0001011,NRP,146
BGC0001012,NRP,113
BGC0001013,NRP,114
BGC0001014,NRP,40
BGC0001015,NRP,64
BGC0001016,NRP,67
BGC0001017,NRP,71
BGC0001018,NRP,34
BGC0001019,NRP,67
BGC0001020,NRP,35
BGC0001021,NRP,20
BGC0001022,NRP,69
BGC0001023,NRP,39
BGC0001024,NRP,58
BGC0001025,NRP,107
BGC0001026,NRP,18
BGC0001027,NRP,22
BGC0001028,NRP,49
BGC0001029,NRP,62
BGC0001030,NRP,17
BGC0001031,NRP,95
BGC0001032,NRP,95
BGC0001033,NRP,65
BGC0001034,NRP,77
BGC0001035,Polyketide,59
BGC0001036,NRP,78
BGC0001037,NRP,14
BGC0001038,NRP,32
BGC0001039,NRP,44
BGC0001040,NRP,135
BGC0001041,NRP,42
BGC0001042,NRP,131
BGC0001043,NRP,19
BGC0001044,NRP,21
BGC0001045,NRP,49
BGC0001046,NRP,91
BGC0001047,NRP,25
BGC0001048,NRP,81
BGC0001049,NRP,15
BGC0001050,NRP,27
BGC0001051,NRP,75
BGC0001052,NRP,69
BGC0001053,NRP,75
BGC0001054,NRP,43
BGC0001055,NRP,89
BGC0001056,NRP,58
BGC0001057,NRP,36
BGC0001058,NRP,86
BGC0001059,NRP,73
BGC0001060,Polyketide,68
BGC0001061,Polyketide,57
BGC0001062,Polyketide,44
BGC0001063,NRP,36
