ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,6.8e-09,2.7e-05,4,27,132,155,130,155,0.94
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,4.1e-08,0.00016,6,27,162,183,157,183,0.91
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,2e-08,7.9e-05,4,27,188,211,185,211,0.92
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,3.9e-08,0.00015,2,27,214,239,214,239,0.96
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,3.4e-07,0.0013,1,25,227,251,227,252,0.96
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,1.2e-06,0.0046,1,25,272,296,272,298,0.91
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,2.5e-05,0.097,6,27,305,326,303,326,0.95
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,1.8e-05,0.07,3,24,329,350,328,352,0.97
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,3.8e-06,0.015,1,27,355,381,355,381,0.97
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,0.57,2.2e+03,6,25,412,432,410,433,0.83
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,0.00069,2.7,1,27,524,550,524,550,0.95
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,0.31,1.2e+03,19,27,555,563,551,564,0.69
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,1.6e-05,0.063,3,25,567,589,566,590,0.94
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,0.0066,26,2,15,594,607,594,608,0.94
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,3.4e-09,1.3e-05,4,26,609,631,609,632,0.91
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,0.00011,0.44,4,27,639,662,637,662,0.93
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,0.94,3.7e+03,3,11,2149,2157,2148,2158,0.88
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_stalk,PF05662.17,7e-40,1.3e-10,5.1e-07,1,34,424,457,424,465,0.87
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_stalk,PF05662.17,7e-40,1.7e-13,6.5e-10,1,36,714,749,714,753,0.94
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_stalk,PF05662.17,7e-40,1.4e-06,0.0053,1,20,896,915,896,922,0.91
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_stalk,PF05662.17,7e-40,5.6e-12,2.2e-08,4,31,1925,1952,1923,1963,0.90
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_stalk,PF05662.17,7e-40,4.7e-10,1.8e-06,1,38,2076,2113,2076,2118,0.91
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,ESPR,PF13018.9,2.7e-15,6.8e-19,2.7e-15,1,41,1,41,1,46,0.92
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,ESPR,PF13018.9,2.7e-15,4,1.6e+04,17,40,626,649,625,657,0.75
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,0.25,1e+03,20,50,102,132,101,134,0.79
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,0.53,2.1e+03,7,55,116,166,110,168,0.78
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,0.34,1.3e+03,20,48,173,203,169,224,0.61
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,1.3,5.1e+03,20,57,201,238,190,251,0.67
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,2.7,1.1e+04,18,28,272,282,268,294,0.78
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,0.11,4.2e+02,9,35,318,344,310,380,0.82
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,0.91,3.6e+03,22,44,411,433,396,441,0.80
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,0.33,1.3e+03,33,56,525,548,522,551,0.72
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,5,2e+04,9,43,540,574,532,605,0.59
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,1.9,7.4e+03,17,58,619,660,610,662,0.80
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_anchor,PF03895.18,3.6e-15,9.2e-19,3.6e-15,1,60,2130,2190,2130,2190,0.99
WP_005710883.1,NZ_CP021644.1,serine O-acetyltransferase,15924,16730,-,SATase_N,PF06426.17,3.4e-40,5.2e-44,5.1e-40,1,105,9,113,9,113,0.99
WP_005710883.1,NZ_CP021644.1,serine O-acetyltransferase,15924,16730,-,Hexapep,PF00132.27,5.2e-12,0.00015,1.4,2,23,162,183,144,184,0.63
WP_005710883.1,NZ_CP021644.1,serine O-acetyltransferase,15924,16730,-,Hexapep,PF00132.27,5.2e-12,5.6e-14,5.5e-10,1,34,193,226,193,228,0.95
WP_021116543.1,NZ_CP021644.1,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,16733,17743,-,NAD_Gly3P_dh_C,PF07479.17,2.3e-51,5.7e-55,3.8e-51,1,140,185,324,185,326,0.98
WP_021116543.1,NZ_CP021644.1,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,16733,17743,-,NAD_Gly3P_dh_N,PF01210.26,6.2e-49,1.5e-52,9.8e-49,2,156,9,164,8,165,0.99
WP_021116543.1,NZ_CP021644.1,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,16733,17743,-,GPD_NAD_C_bact,PF20618.1,1.9e-26,8.7e-30,5.7e-26,1,66,245,311,245,311,0.90
WP_005710888.1,NZ_CP021644.1,two-component system response regulator ArcA,18075,18791,-,Response_reg,PF00072.27,1e-27,1.2e-30,1.2e-26,1,110,6,113,6,115,0.98
WP_005710888.1,NZ_CP021644.1,two-component system response regulator ArcA,18075,18791,-,Response_reg,PF00072.27,1e-27,0.039,3.8e+02,62,82,206,229,204,233,0.83
WP_005710888.1,NZ_CP021644.1,two-component system response regulator ArcA,18075,18791,-,Trans_reg_C,PF00486.31,1.1e-19,1,1e+04,5,23,109,127,107,130,0.64
WP_005710888.1,NZ_CP021644.1,two-component system response regulator ArcA,18075,18791,-,Trans_reg_C,PF00486.31,1.1e-19,2.7e-23,2.7e-19,2,77,158,233,156,233,0.97
WP_005710890.1,NZ_CP021644.1,cytidine deaminase,18969,19862,-,dCMP_cyt_deam_2,PF08211.15,1.4e-36,0.015,1.4e+02,55,111,66,124,9,132,0.63
WP_005710890.1,NZ_CP021644.1,cytidine deaminase,18969,19862,-,dCMP_cyt_deam_2,PF08211.15,1.4e-36,9.6e-40,9.4e-36,1,134,163,280,163,281,0.96
WP_005710890.1,NZ_CP021644.1,cytidine deaminase,18969,19862,-,dCMP_cyt_deam_1,PF00383.26,1.4e-14,1.3e-16,1.3e-12,14,94,66,147,55,154,0.86
WP_005710890.1,NZ_CP021644.1,cytidine deaminase,18969,19862,-,dCMP_cyt_deam_1,PF00383.26,1.4e-14,0.0027,27,7,63,197,277,193,290,0.81
WP_005710892.1,NZ_CP021644.1,dihydroneopterin aldolase,19961,20308,-,FolB,PF02152.21,4.3e-31,2.4e-35,4.7e-31,1,110,5,113,5,114,0.96
WP_005710894.1,NZ_CP021644.1,glycerol-3-phosphate 1-O-acyltransferase PlsY,20385,20996,+,G3P_acyltransf,PF02660.18,5.9e-49,3.5e-53,6.8e-49,2,163,12,184,11,184,0.94
WP_005710896.1,NZ_CP021644.1,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,21080,21691,-,GidB,PF02527.18,9.1e-62,5.6e-66,1.1e-61,1,184,20,199,20,199,0.98
WP_005710898.1,NZ_CP021644.1,N-6 DNA methylase,21702,23249,-,N6_Mtase,PF02384.19,3.7e-77,2.8e-81,5.4e-77,2,274,135,417,134,441,0.93
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,ResIII,PF04851.18,1e-32,0.63,4.1e+03,96,106,171,189,132,223,0.43
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,ResIII,PF04851.18,1e-32,1.6e-36,1e-32,3,170,403,580,401,581,0.87
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,ResIII,PF04851.18,1e-32,1.2,7.8e+03,62,84,848,870,827,887,0.69
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,ResIII,PF04851.18,1e-32,0.21,1.4e+03,3,24,1057,1078,1055,1086,0.82
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,EcoEI_R_C,PF08463.13,1.9e-27,0.85,5.6e+03,11,40,164,193,154,219,0.58
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,EcoEI_R_C,PF08463.13,1.9e-27,0.56,3.7e+03,6,45,819,859,798,889,0.62
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,EcoEI_R_C,PF08463.13,1.9e-27,2.9e-31,1.9e-27,2,166,958,1116,957,1117,0.90
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,SWI2_SNF2,PF18766.4,1.7e-13,1.6,1e+04,85,111,162,186,142,223,0.46
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,SWI2_SNF2,PF18766.4,1.7e-13,2.6e-17,1.7e-13,2,190,408,607,407,642,0.81
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,SWI2_SNF2,PF18766.4,1.7e-13,0.13,8.3e+02,60,104,851,897,826,921,0.75
WP_005710904.1,NZ_CP021644.1,type I restriction-modification system endonuclease,25156,28521,-,SWI2_SNF2,PF18766.4,1.7e-13,0.2,1.3e+03,42,105,967,1029,953,1056,0.71
WP_005710906.1,NZ_CP021644.1,restriction endonuclease subunit S,28570,29763,-,Methylase_S,PF01420.22,1.3e-21,2.6e-10,5.2e-06,1,166,7,163,7,165,0.81
WP_005710906.1,NZ_CP021644.1,restriction endonuclease subunit S,28570,29763,-,Methylase_S,PF01420.22,1.3e-21,6.4e-19,1.3e-14,4,168,198,379,196,379,0.84
WP_005710910.1,NZ_CP021644.1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,30671,32563,-,GIDA,PF01134.25,4e-165,5.9e-169,5.8e-165,1,392,8,399,8,399,0.99
WP_005710910.1,NZ_CP021644.1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,30671,32563,-,GIDA_C,PF13932.9,8.2e-76,1.2e-79,1.2e-75,2,210,402,616,401,616,0.92
WP_005710913.1,NZ_CP021644.1,DeoR/GlpR family DNA-binding transcription regulator,33083,33829,+,DeoRC,PF00455.25,5.8e-40,8.3e-44,8.1e-40,2,159,73,228,72,229,0.98
WP_005710913.1,NZ_CP021644.1,DeoR/GlpR family DNA-binding transcription regulator,33083,33829,+,HTH_DeoR,PF08220.15,6.1e-19,3.5e-22,3.5e-18,1,55,4,58,4,60,0.97
WP_005710913.1,NZ_CP021644.1,DeoR/GlpR family DNA-binding transcription regulator,33083,33829,+,HTH_DeoR,PF08220.15,6.1e-19,0.058,5.7e+02,8,28,201,221,199,222,0.85
WP_005710915.1,NZ_CP021644.1,DUF799 domain-containing protein,33928,34587,-,DUF799,PF05643.14,8.4e-78,5e-82,9.7e-78,1,185,25,208,25,208,0.97
WP_005710916.1,NZ_CP021644.1,DUF4810 domain-containing protein,34597,34944,-,DUF4810,PF16068.8,7.7e-27,4.6e-31,9.1e-27,1,85,28,111,28,111,0.98
WP_005710918.1,NZ_CP021644.1,CsgG/HfaB family protein,34954,35628,-,CsgG,PF03783.17,1.1e-27,6.9e-32,1.4e-27,7,208,43,221,37,224,0.87
WP_005710921.1,NZ_CP021644.1,L-fucose isomerase,35945,37711,+,Fucose_iso_N2,PF07882.15,3.7e-90,9.2e-94,6e-90,1,180,177,356,177,356,1.00
WP_005710921.1,NZ_CP021644.1,L-fucose isomerase,35945,37711,+,Fucose_iso_N1,PF07881.15,1.6e-80,4.2e-84,2.7e-80,3,169,10,176,8,176,0.99
WP_005710921.1,NZ_CP021644.1,L-fucose isomerase,35945,37711,+,Fucose_iso_C,PF02952.20,1.1e-53,2.9e-57,1.9e-53,1,143,388,552,388,552,0.99
WP_005710922.1,NZ_CP021644.1,L-fuculokinase,37852,39288,+,FGGY_N,PF00370.24,1.5e-79,2e-83,2e-79,3,245,5,250,3,250,0.98
WP_005710922.1,NZ_CP021644.1,L-fuculokinase,37852,39288,+,FGGY_C,PF02782.19,1.5e-27,3.1e-31,3e-27,3,193,260,442,259,447,0.93
WP_005710924.1,NZ_CP021644.1,L-fucose mutarotase,39508,39948,+,RbsD_FucU,PF05025.16,5e-37,2.9e-41,5.7e-37,1,134,3,141,3,141,0.92
WP_005710926.1,NZ_CP021644.1,L-fuculose-phosphate aldolase,39958,40611,+,Aldolase_II,PF00596.24,2.3e-46,1.4e-50,2.7e-46,2,186,9,182,8,182,0.94
WP_005710928.1,NZ_CP021644.1,MurR/RpiR family transcriptional regulator,40660,41490,-,SIS,PF01380.25,1.2e-21,2.1e-25,2e-21,2,124,143,267,142,273,0.88
WP_005710928.1,NZ_CP021644.1,MurR/RpiR family transcriptional regulator,40660,41490,-,HTH_6,PF01418.20,4e-13,1e-16,1e-12,4,68,11,75,8,83,0.93
WP_005710929.1,NZ_CP021644.1,5-dehydro-2-deoxygluconokinase,41778,43694,-,DUF2090,PF09863.12,2e-134,2.8e-138,2.8e-134,1,310,330,638,330,638,1.00
WP_005710929.1,NZ_CP021644.1,5-dehydro-2-deoxygluconokinase,41778,43694,-,PfkB,PF00294.27,6.5e-47,2e-50,1.9e-46,3,301,12,327,11,328,0.93
WP_005710931.1,NZ_CP021644.1,3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing),43952,45886,+,TPP_enzyme_C,PF02775.24,3.1e-37,1.3,8.4e+03,37,71,72,108,71,114,0.47
WP_005710931.1,NZ_CP021644.1,3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing),43952,45886,+,TPP_enzyme_C,PF02775.24,3.1e-37,1.4e-40,8.9e-37,2,153,440,599,439,599,0.96
WP_005710931.1,NZ_CP021644.1,3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing),43952,45886,+,TPP_enzyme_N,PF02776.21,2.9e-32,1.7e-35,1.1e-31,2,168,7,195,6,198,0.90
WP_005710931.1,NZ_CP021644.1,3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing),43952,45886,+,TPP_enzyme_N,PF02776.21,2.9e-32,0.27,1.8e+03,120,146,565,591,545,595,0.75
WP_005710931.1,NZ_CP021644.1,3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing),43952,45886,+,TPP_enzyme_M,PF00205.25,3.2e-32,1.2e-35,7.9e-32,2,137,220,353,219,353,0.89
WP_005710933.1,NZ_CP021644.1,myo-inosose-2 dehydratase,45970,46866,+,AP_endonuc_2,PF01261.27,1.9e-33,1.2e-37,2.3e-33,7,249,39,294,33,295,0.82
WP_005710935.1,NZ_CP021644.1,inositol 2-dehydrogenase,46868,47878,+,GFO_IDH_MocA,PF01408.25,6.2e-28,1.3e-31,1.2e-27,1,120,2,123,2,123,0.98
WP_005710935.1,NZ_CP021644.1,inositol 2-dehydrogenase,46868,47878,+,GFO_IDH_MocA_C,PF02894.20,5.2e-21,0.58,5.6e+03,4,18,7,21,6,28,0.75
WP_005710935.1,NZ_CP021644.1,inositol 2-dehydrogenase,46868,47878,+,GFO_IDH_MocA_C,PF02894.20,5.2e-21,1.2e-24,1.2e-20,1,220,135,332,135,332,0.92
WP_005710937.1,NZ_CP021644.1,PTS transporter subunit EIIC,48031,49377,-,PTS_EIIC,PF02378.21,2.7e-42,1.9e-46,3.7e-42,1,324,33,352,33,352,0.89
WP_005710939.1,NZ_CP021644.1,alpha-L-fucosidase,49379,50716,-,Alpha_L_fucos,PF01120.20,5.5e-110,3.5e-114,6.8e-110,9,350,4,353,1,353,0.92
WP_005710940.1,NZ_CP021644.1,Gfo/Idh/MocA family oxidoreductase,50793,51926,-,GFO_IDH_MocA_C,PF02894.20,2.6e-26,5.4e-30,5.3e-26,1,220,142,374,142,374,0.83
WP_005710940.1,NZ_CP021644.1,Gfo/Idh/MocA family oxidoreductase,50793,51926,-,GFO_IDH_MocA,PF01408.25,3.9e-26,8.3e-30,8.2e-26,1,120,4,130,4,130,0.96
WP_005710941.1,NZ_CP021644.1,ABC transporter permease,52021,52977,-,BPD_transp_2,PF02653.19,1.1e-35,0.2,4e+03,260,267,16,23,5,34,0.45
WP_005710941.1,NZ_CP021644.1,ABC transporter permease,52021,52977,-,BPD_transp_2,PF02653.19,1.1e-35,5.5e-40,1.1e-35,4,269,41,305,38,306,0.95
WP_005710943.1,NZ_CP021644.1,sugar ABC transporter ATP-binding protein,53019,54533,-,ABC_tran,PF00005.30,1.3e-52,3.2e-31,6.4e-27,1,136,25,175,25,176,0.94
WP_005710943.1,NZ_CP021644.1,sugar ABC transporter ATP-binding protein,53019,54533,-,ABC_tran,PF00005.30,1.3e-52,5.5e-27,1.1e-22,2,136,277,430,276,431,0.92
WP_005710945.1,NZ_CP021644.1,substrate-binding domain-containing protein,54645,55577,-,Peripla_BP_4,PF13407.9,2.5e-52,1.5e-56,2.9e-52,5,258,30,284,26,285,0.94
WP_005710947.1,NZ_CP021644.1,CoA-acylating methylmalonate-semialdehyde dehydrogenase,55896,57407,-,Aldedh,PF00171.25,8.3e-140,4.8e-144,9.5e-140,3,462,15,483,13,483,0.96
WP_005710951.1,NZ_CP021644.1,5-deoxy-glucuronate isomerase,57627,58442,+,KduI,PF04962.15,3.6e-107,2.1e-111,4.1e-107,3,261,6,261,3,261,0.98
WP_005710954.1,NZ_CP021644.1,DsrH/TusB family sulfur metabolism protein,59071,59334,-,DsrH,PF04077.15,5e-14,3e-18,5.9e-14,4,84,10,81,7,84,0.86
WP_005710957.1,NZ_CP021644.1,sulfurtransferase complex subunit TusC,59344,59715,-,DrsE,PF02635.18,6.5e-21,3.7e-25,7.2e-21,2,117,5,123,4,123,0.97
